Time(s);acc_x(g);acc_y(g);acc_z(g);gyr_x(°/s);gyr_y(°/s);gyr_z(°/s);mag_x(G);mag_y(G);mag_z(G);SVM(g);yaw(°);pitch(°);roll(°)
1.536;0.22;0.14;0.86;-2.02;-7.30;3.69;406.29;-220.92;-375.00;0.90;-111.35;11.05;10.43 
1.566;0.26;0.18;0.99;-0.07;2.78;0.28;407.28;-220.92;-373.00;1.04;-111.33;11.30;10.37 
1.596;0.23;0.18;0.88;1.32;17.25;-2.57;408.28;-221.88;-372.00;0.93;-111.31;11.07;10.40 
1.627;0.18;0.14;0.77;0.77;9.46;-2.78;407.28;-217.10;-374.00;0.80;-111.26;10.66;10.46 
1.657;0.18;0.15;0.86;-0.07;1.60;-0.90;408.28;-216.14;-376.00;0.89;-111.18;10.56;10.48 
1.687;0.19;0.20;0.92;1.04;7.65;-1.04;409.28;-215.18;-372.00;0.96;-111.11;10.51;10.47 
1.717;0.17;0.14;0.88;2.64;14.33;-1.88;408.28;-213.27;-374.00;0.91;-111.08;10.23;10.50 
1.747;0.14;0.16;0.78;2.30;9.74;-0.42;410.27;-210.40;-369.00;0.81;-111.09;9.87;10.57 
1.777;0.16;0.14;0.79;1.60;-0.21;1.74;408.28;-207.53;-371.00;0.82;-111.08;9.75;10.61 
1.807;0.21;0.14;0.86;1.25;-1.53;1.25;407.28;-206.58;-375.00;0.90;-111.07;9.86;10.64 
1.838;0.18;0.14;0.82;0.56;2.78;1.60;407.28;-210.40;-371.00;0.85;-111.06;9.91;10.64 
1.867;0.20;0.14;0.78;-0.56;2.16;3.69;411.27;-210.40;-372.00;0.82;-111.09;9.90;10.61 
1.897;0.18;0.17;0.78;-1.25;-1.46;9.11;408.28;-208.49;-371.00;0.82;-111.22;10.04;10.55 
1.926;0.18;0.15;0.77;-2.23;-0.28;10.02;410.27;-212.32;-370.00;0.80;-111.41;10.20;10.46 
1.955;0.19;0.18;0.81;-3.83;3.20;10.92;408.28;-215.18;-372.00;0.85;-111.67;10.32;10.31 
1.985;0.18;0.21;0.78;-3.06;2.43;9.74;406.29;-212.32;-370.00;0.83;-111.92;10.37;10.16 
2.015;0.18;0.18;0.82;2.92;2.16;5.43;407.28;-214.23;-371.00;0.86;-112.09;10.43;10.12 
2.045;0.17;0.16;0.81;11.55;2.85;4.31;411.27;-215.18;-371.00;0.84;-112.23;10.41;10.30 
2.075;0.13;0.14;0.83;13.08;-4.66;6.12;411.27;-215.18;-367.00;0.85;-112.33;10.49;10.63 
2.105;0.17;0.21;0.79;8.07;-2.02;9.81;412.26;-216.14;-364.00;0.83;-112.50;10.67;10.92 
2.136;0.20;0.31;0.81;2.37;-1.25;6.61;415.25;-218.05;-365.00;0.89;-112.71;10.82;11.11 
2.166;0.22;0.31;0.81;0.83;1.95;-1.39;415.25;-218.05;-367.00;0.89;-112.73;10.89;11.31 
2.196;0.23;0.17;0.74;4.52;-3.55;-6.19;415.25;-219.97;-362.00;0.79;-112.54;10.96;11.51 
2.226;0.25;0.09;0.82;7.44;-4.31;-1.11;418.24;-218.05;-362.00;0.86;-112.33;11.18;11.69 
2.256;0.27;0.11;0.83;3.90;4.31;3.90;415.25;-219.97;-361.00;0.88;-112.32;11.35;11.82 
2.286;0.26;0.13;0.77;-0.35;19.69;2.92;418.24;-219.97;-360.00;0.82;-112.45;11.21;11.78 
2.316;0.19;0.13;0.68;0.28;23.51;2.57;419.23;-217.10;-361.00;0.72;-112.63;10.68;11.72 
2.347;0.15;0.14;0.62;2.85;17.32;1.39;417.24;-212.32;-361.00;0.65;-112.78;10.15;11.72 
2.377;0.13;0.18;0.54;2.92;21.08;-4.17;418.24;-211.36;-357.00;0.58;-112.83;9.71;11.88 
2.407;0.07;0.10;0.42;5.08;30.75;-8.70;423.22;-201.80;-357.00;0.44;-112.75;9.00;12.09 
2.438;0.05;0.06;0.32;3.90;40.70;-4.03;423.22;-197.97;-355.00;0.33;-112.76;7.92;12.29 
2.468;0.06;0.02;0.16;-1.04;48.56;0.28;425.21;-191.28;-356.00;0.17;-112.96;6.66;12.28 
2.498;0.17;-0.04;0.09;1.74;42.37;2.16;424.21;-187.45;-353.00;0.20;-113.23;5.81;11.98 
2.528;0.38;-0.07;0.04;5.77;39.93;6.12;422.22;-177.89;-352.00;0.39;-113.51;5.44;11.80 
2.558;0.26;-0.04;-0.14;7.10;17.46;22.82;432.18;-175.97;-348.00;0.30;-114.08;5.41;11.73 
2.588;0.30;0.04;-0.18;0.07;-35.06;32.28;431.18;-179.80;-348.00;0.35;-114.80;5.91;11.69 
2.618;0.46;0.15;-0.11;7.03;-76.73;34.78;431.18;-191.28;-348.00;0.50;-115.36;8.54;11.83 
2.649;-8.58;2.31;7.04;80.00;-486.96;227.13;435.17;-240.05;-342.00;11.34;-116.04;13.88;12.54 
2.679;5.30;2.57;2.38;-143.30;271.17;-270.05;429.19;-320.39;-315.00;6.35;-114.37;25.17;11.39 
2.709;1.43;-1.70;1.12;110.75;120.56;-463.03;432.18;-205.62;-348.00;2.49;-102.80;12.85;13.68 
2.739;1.30;-1.38;1.37;237.22;8.14;160.97;460.06;-139.63;-330.00;2.34;-98.67;7.04;19.67 
2.769;-0.38;2.21;2.74;-145.18;151.30;133.98;478.98;-189.36;-318.00;3.54;-107.72;9.31;17.90 
2.799;1.72;0.49;1.09;-29.84;140.87;-106.85;457.07;-163.54;-331.00;2.09;-108.14;5.86;14.37 
2.829;-0.20;0.05;0.70;12.94;280.90;-136.07;458.07;-119.55;-326.00;0.73;-105.86;-0.58;14.86 
2.860;-0.20;-0.10;0.09;2.16;168.63;-71.30;457.07;-71.73;-313.00;0.24;-104.21;-8.75;14.58 
2.890;-0.05;0.08;0.10;-15.10;13.01;-3.69;448.11;-38.26;-306.00;0.14;-103.62;-12.27;14.37 
2.920;-0.02;0.12;0.76;-11.62;-49.04;2.37;446.12;-43.99;-306.00;0.77;-103.42;-11.34;14.02 
2.951;-0.37;0.11;1.15;-2.99;-6.96;-8.63;444.13;-46.86;-310.00;1.21;-103.16;-10.30;13.70 
2.981;-0.08;-0.03;1.10;2.85;40.14;-5.50;450.10;-43.04;-309.00;1.10;-102.90;-10.84;13.62 
3.010;-0.17;0.22;0.98;-5.01;46.82;13.98;447.12;-37.30;-306.00;1.02;-103.26;-11.83;13.47 
3.040;-0.27;0.31;0.92;-11.90;56.97;-1.39;447.12;-32.52;-304.00;1.01;-103.76;-13.06;13.28 
3.070;-0.27;0.14;0.78;-7.58;63.72;-6.12;445.13;-24.87;-297.00;0.84;-103.85;-14.89;12.87 
3.100;-0.35;0.13;0.74;-1.18;49.25;0.56;446.12;-16.26;-296.00;0.83;-103.98;-16.61;12.58 
3.130;-0.35;0.19;0.82;1.60;43.55;5.70;445.13;-6.69;-288.00;0.91;-104.21;-17.93;12.53 
3.161;-0.32;0.29;0.80;0.49;45.50;1.81;443.13;-2.87;-283.00;0.91;-104.53;-19.21;12.62 
3.191;-0.32;0.27;0.80;-0.49;50.99;-4.31;444.13;0.00;-278.00;0.90;-104.70;-20.56;12.67 
3.221;-0.36;0.28;0.82;-0.42;60.10;-9.46;446.12;6.69;-272.00;0.94;-104.74;-22.14;12.64 
3.251;-0.36;0.19;0.75;-1.60;65.18;-12.03;439.15;18.17;-264.00;0.85;-104.62;-23.96;12.49 
3.281;-0.38;0.22;0.71;-1.95;66.23;-6.75;442.14;25.82;-261.00;0.83;-104.55;-25.96;12.31 
3.311;-0.38;0.29;0.68;-2.71;62.47;-6.47;437.16;35.39;-250.00;0.83;-104.58;-27.78;12.20 
3.340;-0.39;0.34;0.64;-1.74;63.30;-10.16;438.15;45.91;-243.00;0.82;-104.59;-29.50;12.14 
3.369;-0.37;0.32;0.62;-0.97;66.50;-17.46;437.16;50.69;-236.00;0.79;-104.44;-31.34;12.04 
3.399;-0.37;0.26;0.61;-0.70;70.82;-20.66;430.19;65.03;-224.00;0.76;-104.10;-33.27;11.82 
3.429;-0.34;0.25;0.58;-1.32;74.71;-21.84;429.19;68.86;-212.00;0.72;-103.68;-35.33;11.52 
3.460;-0.31;0.24;0.61;-2.71;77.57;-22.61;426.20;78.42;-204.00;0.73;-103.23;-37.58;11.17 
3.490;-0.26;0.18;0.53;-4.73;84.10;-23.03;425.21;81.29;-195.00;0.62;-102.72;-39.88;10.70 
3.520;-0.28;0.10;0.47;-6.89;94.96;-21.84;417.24;100.42;-173.00;0.56;-102.18;-42.33;10.12 
3.550;-0.26;0.07;0.39;-5.84;106.99;-20.73;416.25;106.16;-158.00;0.47;-101.61;-45.12;9.48 
3.580;-0.23;0.07;0.31;-4.66;115.90;-19.83;416.25;114.77;-146.00;0.39;-101.05;-48.36;8.89 
3.610;-0.30;0.07;0.17;-5.43;119.79;-20.31;411.27;124.33;-129.00;0.35;-100.48;-51.86;8.33 
3.640;-0.41;0.10;0.14;1.04;118.61;-25.32;403.30;132.94;-99.00;0.44;-99.77;-55.64;7.75 
3.670;-0.50;0.22;0.06;9.81;117.29;-32.07;399.32;136.76;-79.00;0.55;-98.92;-59.43;7.19 
3.699;-0.43;0.21;0.11;9.81;127.72;-44.24;396.33;143.46;-61.00;0.49;-97.89;-63.28;6.57 
3.729;-0.58;0.10;0.21;-7.51;170.78;-35.97;391.35;150.15;-35.00;0.62;-96.81;-67.54;5.77 
3.760;-2.14;-0.92;-0.36;-8.49;315.83;-42.57;382.39;147.28;-6.00;2.36;-94.93;-74.75;4.06 
3.790;-1.62;-0.51;-1.90;-46.40;208.21;10.09;376.41;146.33;62.00;2.55;-93.30;-83.86;2.81 
3.820;-0.92;0.34;-1.60;-4.73;125.70;-16.21;376.41;139.63;83.00;1.88;-93.02;-87.16;2.84 
3.850;-2.58;0.17;-2.03;-8.42;40.42;-4.24;375.42;134.85;100.00;3.29;-92.34;-85.60;2.40 
3.880;-1.82;-0.04;-1.05;-12.38;-74.30;0.00;374.42;140.59;93.00;2.10;-92.34;-85.91;2.38 
3.910;-1.63;-0.12;-0.43;-9.81;-69.01;13.22;378.41;135.81;82.00;1.69;-92.58;-87.15;2.48 
3.940;-1.06;-0.06;-0.25;-8.21;-30.26;9.60;381.39;140.59;75.00;1.09;-92.90;-87.29;2.71 
3.971;-0.87;-0.08;-0.38;-9.32;19.13;12.03;385.38;140.59;66.00;0.95;-93.07;-87.12;2.88 
4.001;-0.76;-0.02;-0.61;-5.63;18.78;12.80;383.39;135.81;73.00;0.97;-93.22;-86.65;3.11 
4.031;-0.64;0.04;-0.62;-5.77;-10.23;17.04;388.36;134.85;71.00;0.89;-93.55;-85.96;3.51 
4.061;-0.72;0.10;-0.49;-1.25;-42.30;15.51;394.34;133.89;68.00;0.88;-94.03;-85.60;3.97 
4.091;-0.93;0.07;-0.22;2.09;-59.62;9.81;393.34;132.94;58.00;0.96;-94.51;-85.58;4.37 
4.121;-0.94;0.10;0.00;-0.28;-54.54;3.97;394.34;137.72;48.00;0.95;-94.80;-85.36;4.55 
4.151;-0.99;0.13;0.10;-4.73;-18.85;0.28;395.33;137.72;41.00;1.00;-94.95;-84.90;4.62 
4.182;-1.07;0.18;-0.10;-5.63;10.78;-10.78;398.32;137.72;38.00;1.09;-94.77;-85.03;4.44 
4.212;-1.16;0.10;-0.26;-2.85;3.27;-10.99;395.33;137.72;39.00;1.19;-94.34;-85.59;4.04 
4.242;-1.15;0.09;-0.18;-1.88;-15.44;-5.91;393.34;138.67;39.00;1.17;-94.03;-85.89;3.74 
4.273;-1.09;0.08;-0.06;0.28;-18.43;-3.13;394.34;141.54;36.00;1.09;-93.89;-85.86;3.58 
4.303;-1.05;0.11;-0.04;1.88;-12.94;-5.43;395.33;144.41;32.00;1.06;-93.77;-85.77;3.44 
4.333;-1.02;0.09;-0.06;1.46;-12.66;-5.43;390.36;140.59;33.00;1.03;-93.57;-85.74;3.23 
4.363;-0.98;0.08;-0.05;-0.35;-16.28;-4.03;389.36;147.28;31.00;0.98;-93.41;-85.64;3.06 
4.393;-0.95;0.06;-0.04;-1.32;-13.70;-3.34;387.37;146.33;26.00;0.95;-93.26;-85.41;2.90 
4.422;-0.95;0.03;-0.03;-0.35;-7.37;-2.23;388.36;147.28;26.00;0.95;-93.13;-85.29;2.76 
4.452;-0.98;0.03;-0.07;-1.04;-3.83;0.28;388.36;147.28;24.00;0.98;-93.04;-85.29;2.68 
4.483;-1.01;0.07;-0.11;-0.14;-2.02;-1.18;388.36;148.24;23.00;1.02;-92.98;-85.38;2.63 
4.513;-0.99;0.07;-0.13;1.74;-4.66;-1.32;389.36;147.28;27.00;1.00;-92.91;-85.49;2.58 
4.543;-1.02;0.02;-0.03;1.60;-2.78;1.60;385.38;146.33;22.00;1.02;-92.88;-85.52;2.56 
4.573;-1.02;0.05;-0.06;-0.83;2.16;1.18;390.36;149.19;23.00;1.02;-92.87;-85.61;2.55 
4.602;-1.02;0.10;-0.10;-1.11;3.62;-1.53;390.36;151.11;23.00;1.03;-92.83;-85.80;2.53 
4.632;-1.05;0.06;-0.16;-0.77;2.57;-1.67;388.36;146.33;17.00;1.06;-92.79;-86.00;2.50 
4.662;-1.08;0.04;-0.11;-0.83;-0.70;0.63;387.37;148.24;27.00;1.09;-92.72;-86.19;2.44 
4.692;-1.06;0.02;-0.09;-0.56;-3.34;4.45;389.36;148.24;23.00;1.06;-92.72;-86.24;2.44 
4.722;-1.06;0.03;-0.08;-0.77;0.77;6.33;390.36;151.11;22.00;1.06;-92.81;-86.21;2.54 
4.752;-1.08;0.06;-0.08;-1.60;1.04;6.75;392.35;146.33;21.00;1.08;-92.95;-86.22;2.69 
4.783;-1.04;0.10;-0.14;-2.50;0.21;4.66;392.35;147.28;23.00;1.05;-93.09;-86.21;2.84 
4.812;-1.03;0.09;-0.13;-2.23;1.18;2.09;394.34;145.37;22.00;1.04;-93.17;-86.26;2.92 
4.842;-1.05;0.07;-0.13;-0.90;0.00;1.60;396.33;144.41;21.00;1.06;-93.21;-86.34;2.97 
4.872;-1.02;0.06;-0.16;-0.49;-2.09;1.95;396.33;146.33;17.00;1.03;-93.24;-86.39;3.00 
4.902;-1.03;0.07;-0.14;0.00;-3.27;2.43;394.34;144.41;18.00;1.04;-93.30;-86.37;3.07 
4.932;-1.02;0.07;-0.10;-0.77;-4.66;2.57;395.33;143.46;21.00;1.03;-93.35;-86.34;3.12 
4.962;-1.02;0.10;-0.08;-1.60;-3.83;2.85;396.33;146.33;14.00;1.03;-93.41;-86.27;3.18 
4.992;-1.02;0.10;-0.07;-1.04;-0.28;1.39;397.33;146.33;17.00;1.03;-93.47;-86.23;3.24 
5.022;-1.02;0.10;-0.08;-0.28;2.09;0.07;394.34;145.37;17.00;1.03;-93.48;-86.28;3.26 
5.052;-1.02;0.08;-0.12;-0.56;1.88;0.00;398.32;141.54;17.00;1.03;-93.48;-86.36;3.26 
5.083;-1.02;0.06;-0.13;-0.14;0.07;-0.56;396.33;141.54;21.00;1.03;-93.45;-86.46;3.24 
5.113;-1.02;0.09;-0.08;-0.28;-0.14;-0.63;397.33;142.50;19.00;1.03;-93.42;-86.53;3.20 
5.143;-1.04;0.06;-0.04;-0.07;0.97;-0.70;395.33;141.54;17.00;1.04;-93.38;-86.61;3.17 
5.172;-1.03;0.09;-0.09;0.35;1.46;-0.90;398.32;144.41;20.00;1.04;-93.34;-86.68;3.14 
5.202;-1.03;0.07;-0.10;0.14;1.25;-0.35;398.32;145.37;18.00;1.04;-93.31;-86.77;3.10 
5.232;-1.02;0.07;-0.13;0.21;0.77;-1.04;392.35;143.46;22.00;1.03;-93.26;-86.84;3.06 
5.262;-1.02;0.06;-0.12;0.07;-0.28;0.21;395.33;145.37;17.00;1.03;-93.20;-86.93;3.00 
5.293;-1.02;0.06;-0.11;-0.49;-0.63;0.42;397.33;143.46;21.00;1.03;-93.18;-86.96;2.98 
5.323;-1.03;0.10;-0.10;-0.83;0.14;0.21;396.33;146.33;14.00;1.04;-93.16;-86.99;2.97 
5.353;-1.04;0.10;-0.10;-0.83;0.70;0.14;395.33;144.41;20.00;1.05;-93.17;-86.99;2.98 
5.382;-1.01;0.09;-0.09;0.07;0.42;-0.14;395.33;141.54;20.00;1.02;-93.14;-87.04;2.95 
5.412;-1.02;0.09;-0.10;0.14;1.11;0.00;396.33;146.33;18.00;1.03;-93.11;-87.08;2.91 
5.442;-1.03;0.10;-0.10;0.49;0.90;-0.21;396.33;144.41;19.00;1.04;-93.09;-87.10;2.90 
5.472;-1.02;0.09;-0.10;0.28;0.97;-0.56;397.33;144.41;16.00;1.03;-93.06;-87.13;2.87 
5.502;-1.02;0.08;-0.10;-0.35;1.53;-0.21;395.33;144.41;21.00;1.03;-93.04;-87.15;2.84 
5.532;-1.04;0.05;-0.10;-0.28;1.74;-0.35;396.33;144.41;21.00;1.05;-93.01;-87.16;2.81 
5.562;-1.02;0.07;-0.10;0.07;1.25;-0.21;397.33;142.50;21.00;1.03;-92.98;-87.17;2.79 
5.592;-1.03;0.08;-0.11;-0.07;0.28;0.35;396.33;145.37;16.00;1.04;-92.97;-87.16;2.77 
5.621;-1.02;0.08;-0.14;0.07;0.21;0.14;396.33;142.50;22.00;1.03;-92.96;-87.14;2.77 
5.651;-1.02;0.09;-0.09;-0.28;1.18;-0.35;397.33;144.41;18.00;1.03;-92.97;-87.11;2.77 
5.682;-1.02;0.07;-0.14;-0.14;1.53;-0.21;395.33;142.50;21.00;1.03;-92.96;-87.09;2.76 
5.712;-1.03;0.08;-0.11;-0.35;0.42;0.14;396.33;144.41;16.00;1.04;-92.94;-87.06;2.74 
5.742;-1.02;0.08;-0.10;-0.35;0.28;0.14;395.33;142.50;21.00;1.03;-92.93;-87.04;2.72 
5.772;-1.04;0.07;-0.10;0.00;0.77;0.00;396.33;146.33;18.00;1.05;-92.94;-86.99;2.74 
5.801;-1.02;0.09;-0.10;-0.35;2.23;-0.14;396.33;145.37;19.00;1.03;-92.93;-86.96;2.72 
5.831;-1.02;0.07;-0.10;0.07;1.81;-0.21;391.35;145.37;18.00;1.03;-92.92;-86.91;2.71 
5.861;-1.02;0.08;-0.10;-0.07;0.21;-0.21;396.33;142.50;22.00;1.03;-92.90;-86.86;2.69 
5.892;-1.02;0.08;-0.11;-0.42;-0.21;0.56;395.33;145.37;21.00;1.03;-92.90;-86.81;2.69 
5.922;-1.03;0.07;-0.13;0.00;0.07;0.49;396.33;143.46;19.00;1.04;-92.90;-86.78;2.68 
5.952;-1.02;0.08;-0.14;-0.83;0.42;0.56;395.33;143.46;20.00;1.03;-92.91;-86.73;2.69 
5.981;-1.05;0.07;-0.13;-0.07;0.14;0.07;396.33;145.37;19.00;1.06;-92.91;-86.68;2.69 
6.011;-1.03;0.11;-0.12;-0.28;-0.83;0.07;393.34;143.46;18.00;1.04;-92.91;-86.63;2.69 
6.041;-1.02;0.07;-0.12;0.00;-0.07;0.42;395.33;141.54;17.00;1.03;-92.92;-86.60;2.69 
6.071;-1.03;0.10;-0.08;0.35;-0.28;0.07;396.33;140.59;22.00;1.04;-92.92;-86.56;2.69 
6.102;-1.02;0.08;-0.10;-0.07;-0.42;0.21;398.32;146.33;19.00;1.03;-92.92;-86.52;2.69 
6.131;-1.02;0.09;-0.08;-0.21;0.21;-0.49;396.33;143.46;19.00;1.03;-92.91;-86.51;2.68 
6.161;-1.02;0.07;-0.06;-0.35;1.25;-0.14;396.33;146.33;19.00;1.02;-92.90;-86.46;2.67 
6.192;-1.02;0.05;-0.12;-0.35;0.83;0.28;399.32;145.37;21.00;1.03;-92.90;-86.39;2.66 
6.222;-1.03;0.08;-0.13;0.07;0.07;0.35;397.33;144.41;20.00;1.04;-92.90;-86.33;2.65 
6.252;-1.02;0.10;-0.12;-0.35;0.14;0.56;393.34;144.41;18.00;1.03;-92.89;-86.28;2.65 
6.282;-1.03;0.08;-0.11;-0.35;-0.83;0.42;394.34;145.37;18.00;1.04;-92.91;-86.23;2.66 
6.312;-1.04;0.07;-0.11;0.00;-0.97;0.07;396.33;139.63;17.00;1.05;-92.91;-86.19;2.66 
6.341;-1.02;0.07;-0.11;0.00;-0.77;0.63;396.33;142.50;18.00;1.03;-92.91;-86.17;2.66 
6.371;-1.02;0.08;-0.10;0.00;-0.90;0.35;398.32;144.41;20.00;1.03;-92.91;-86.14;2.65 
6.402;-1.03;0.08;-0.07;-0.42;-0.14;0.63;397.33;147.28;17.00;1.04;-92.91;-86.13;2.66 
6.432;-1.02;0.07;-0.10;-0.42;0.42;-0.28;397.33;143.46;18.00;1.03;-92.93;-86.09;2.67 
6.462;-1.03;0.10;-0.10;-0.42;0.49;0.14;395.33;142.50;19.00;1.04;-92.94;-86.04;2.67 
6.492;-1.04;0.08;-0.09;0.07;0.21;-0.28;398.32;145.37;19.00;1.05;-92.92;-86.01;2.66 
6.522;-1.03;0.06;-0.10;-0.42;0.07;0.28;397.33;144.41;20.00;1.04;-92.92;-85.97;2.66 
6.552;-1.03;0.07;-0.10;0.00;-0.07;0.07;396.33;142.50;16.00;1.04;-92.93;-85.92;2.65 
6.582;-1.02;0.06;-0.07;-0.28;-0.77;0.00;397.33;143.46;23.00;1.02;-92.92;-85.88;2.65 
6.612;-1.02;0.09;-0.10;-0.14;-0.90;0.14;398.32;143.46;16.00;1.03;-92.93;-85.86;2.65 
6.642;-1.02;0.08;-0.06;0.21;-0.70;-0.42;397.33;145.37;15.00;1.02;-92.93;-85.85;2.65 
