action,frame_number,input_number,x_inputs,y_inputs
band-stretching,5,6,203.7258243693062,660.4696247895931
band-stretching,5,7,204.75666974685393,573.0995224677986
band-stretching,5,8,157.75816490183922,719.8106232999731
band-stretching,5,9,147.5034032813719,522.5804110786861
band-stretching,5,10,89.46128088624401,762.6778043200502
band-stretching,5,11,78.1685381557343,484.53544765594506
band-stretching,5,12,382.86217199449896,654.6149629805816
band-stretching,5,13,374.6332290797558,584.4878907393515
band-stretching,5,14,534.5181598742693,647.5619023224044
band-stretching,5,15,529.65216434283,584.0122100806254
band-stretching,5,16,663.1918152955964,649.6080466158031
band-stretching,5,17,664.2562177343276,582.8587337735107
band-stretching,6,1,154.76299672120157,618.7388893145309
band-stretching,6,2,145.03261251356994,632.3406339194233
band-stretching,6,3,145.25005974154533,609.5744103365444
band-stretching,6,4,155.29201803855526,648.4717702158348
band-stretching,6,5,156.0286155785337,593.5112852383926
band-stretching,6,6,205.41786818167043,666.877673921131
band-stretching,6,7,202.08025864853772,576.9056783850355
band-stretching,6,8,163.39968677367318,726.9397220418008
band-stretching,6,9,152.33980615327494,524.1926599721439
band-stretching,6,10,92.66775755544973,768.8844412476825
band-stretching,6,11,80.67014434301241,487.7788825411056
band-stretching,6,12,381.46082511721966,658.0474067348507
band-stretching,6,13,378.23847036586557,590.480474848751
band-stretching,6,14,528.1366950893535,654.1485095414959
band-stretching,6,15,527.8720194357609,591.6274688506294
band-stretching,6,16,660.1962237946699,655.1638180794519
band-stretching,6,17,659.7930305047108,587.6097081919186
band-stretching,7,1,158.8750613182163,623.3892350416459
band-stretching,7,2,148.04178764353844,635.2616459461602
band-stretching,7,3,148.835536993823,611.569853759575
band-stretching,7,4,158.00037077164353,647.8153606953796
band-stretching,7,5,160.95725667956137,593.3281684536007
band-stretching,7,6,200.97490985251332,670.7189795488869
band-stretching,7,7,205.86439727910184,583.4765853703161
band-stretching,7,8,158.32021436810328,732.1470369313677
band-stretching,7,9,159.88685597328472,531.2273836396431
band-stretching,7,10,92.6781377117776,775.6351277383392
band-stretching,7,11,83.01973223851557,488.1500653900456
band-stretching,7,12,385.4809669515792,660.9681814820575
band-stretching,7,13,382.56303216481837,593.7662817592457
band-stretching,7,14,536.58523570152,663.5665324179108
band-stretching,7,15,537.6740840536215,598.2739272106447
band-stretching,7,16,669.2338243503015,658.4631476301778
band-stretching,7,17,661.267684111152,593.2807207665901
band-stretching,8,1,160.07082125680952,624.1339209599015
band-stretching,8,2,149.28318367586388,636.1666148272834
band-stretching,8,3,149.34362276582547,613.4991393137685
band-stretching,8,4,158.86194642473026,649.3565150669643
band-stretching,8,5,161.00609838879885,595.8821919520882
band-stretching,8,6,208.39755404177387,669.31765649395
band-stretching,8,7,206.37286351557083,585.6292295790947
band-stretching,8,8,164.36513130939286,731.247308449667
band-stretching,8,9,158.1547303007975,526.3219242855313
band-stretching,8,10,95.43864574247193,777.2757155740754
band-stretching,8,11,84.08632889534663,489.8135592768101
band-stretching,8,12,384.3258402251668,663.5576277650213
band-stretching,8,13,386.52033516173555,596.7921699089152
band-stretching,8,14,539.8395437539533,654.9572210736242
band-stretching,8,15,538.460483630388,600.6808302534641
band-stretching,8,16,668.9546243823683,660.5392386967275
band-stretching,8,17,662.2033724209472,592.4400245017321
band-stretching,9,1,161.17005416986515,624.4891119784996
band-stretching,9,2,150.1549244323815,636.5849424506611
band-stretching,9,3,150.3701330388634,613.4562079186182
band-stretching,9,4,159.45929801745157,650.3016589936756
band-stretching,9,5,161.6259338124946,596.0255221293179
band-stretching,9,6,202.16031332452485,672.4121794153432
band-stretching,9,7,206.1927109717,584.7006885489851
band-stretching,9,8,165.54488066992053,732.6172096556188
band-stretching,9,9,158.05398483382183,525.7409887142613
band-stretching,9,10,96.38201857737464,777.6960381560731
band-stretching,9,11,84.29440248359754,489.0644096713993
band-stretching,9,12,381.7236363044559,664.3041015434414
band-stretching,9,13,386.6289051495048,596.8620496834749
band-stretching,9,14,539.2622427338536,653.3666115492048
band-stretching,9,15,538.6234290854445,600.9325323767442
band-stretching,9,16,669.2860465506079,660.3450134896748
band-stretching,9,17,662.6426541226582,592.2525965432279
band-stretching,10,1,161.62104098707562,624.2642110069686
band-stretching,10,2,150.64037233053728,636.2405955354094
band-stretching,10,3,151.01052949564135,612.7045606840969
band-stretching,10,4,159.58852428834416,649.2759653369865
band-stretching,10,5,161.91252426697707,594.8648840779908
band-stretching,10,6,202.3532026187722,670.2203912310633
band-stretching,10,7,206.11000113943578,583.9859120758318
band-stretching,10,8,164.27275129892294,734.5035785255164
band-stretching,10,9,156.59215559410487,522.7841293728045
band-stretching,10,10,97.65870018904815,778.680134042923
band-stretching,10,11,86.56099740079966,487.12310957778345
band-stretching,10,12,381.6438168593154,662.3164142546107
band-stretching,10,13,386.0888246491283,595.4180076771839
band-stretching,10,14,536.6621114278468,662.9095539983412
band-stretching,10,15,537.8922744729813,599.7498387642711
band-stretching,10,16,658.2515580049004,659.1780417901664
band-stretching,10,17,663.5137653747644,591.0015854846678
band-stretching,11,1,162.13422695905922,623.8531137983098
band-stretching,11,2,150.13450696630386,635.7663147306182
band-stretching,11,3,150.75610876414052,611.9726476736314
band-stretching,11,4,158.916178086925,648.1520022199453
band-stretching,11,5,162.7013585306239,594.2209150565964
band-stretching,11,6,202.01426068225283,667.7498584422723
band-stretching,11,7,206.4957625856016,582.987394072319
band-stretching,11,8,164.55805203124322,734.2620063442257
band-stretching,11,9,158.27055149369366,523.1163645497902
band-stretching,11,10,98.6280969839321,780.5556512455937
band-stretching,11,11,87.64814675763643,483.6034927546838
band-stretching,11,12,385.45945190027584,659.9399882903981
band-stretching,11,13,386.4638788061896,592.2552863068175
band-stretching,11,14,537.1140036933465,653.1524748731459
band-stretching,11,15,534.9410011302085,596.6879322489754
band-stretching,11,16,660.8971317201316,657.2489334809231
band-stretching,11,17,660.6776851490037,591.1036804818623
band-stretching,12,1,163.55725548965094,622.945360396636
band-stretching,12,2,151.47394092998954,634.5374354675912
band-stretching,12,3,151.75432562332048,611.4289718973366
band-stretching,12,4,158.09070917835845,650.9696080180279
band-stretching,12,5,162.24692848618253,593.7760855014393
band-stretching,12,6,202.83215547897615,667.3116500818758
band-stretching,12,7,207.51659779542032,582.9585488860631
band-stretching,12,8,164.7562554474512,736.6254431600221
band-stretching,12,9,159.1416541746354,521.6425394360485
band-stretching,12,10,102.84917643595999,781.9667769111198
band-stretching,12,11,88.15285501466876,484.0601386398566
band-stretching,12,12,387.32068073733006,659.720869697136
band-stretching,12,13,386.643478986129,592.5652197094098
band-stretching,12,14,537.7331988986753,652.3707655609632
band-stretching,12,15,537.9590714622635,597.4169340587798
band-stretching,12,16,667.5828304634676,657.1906451449369
band-stretching,12,17,660.4334850549367,590.2245103894129
band-stretching,13,1,163.75483225850226,623.0491873735939
band-stretching,13,2,152.33964187262293,634.7003769409275
band-stretching,13,3,152.12539704596617,611.4268087465999
band-stretching,13,4,158.41280889577243,650.1863864061891
band-stretching,13,5,161.4444238104536,593.9362996895736
band-stretching,13,6,203.3727978668001,667.5264149769315
band-stretching,13,7,207.32550654100478,582.9219392274712
band-stretching,13,8,169.30136015279615,735.6461394977792
band-stretching,13,9,161.98570272628214,521.9489835669154
band-stretching,13,10,106.59651715282594,783.5076096391045
band-stretching,13,11,93.28142578823392,482.92210980191254
band-stretching,13,12,386.1949278081505,658.7916306459188
band-stretching,13,13,385.68710083769696,592.8315838494401
band-stretching,13,14,537.6845323030892,650.401253979435
band-stretching,13,15,539.071620036428,597.4332172474202
band-stretching,13,16,660.9157006717422,657.4002686261572
band-stretching,13,17,660.1825499303133,590.5739273678781
band-stretching,14,1,165.9774868630503,623.8649302474415
band-stretching,14,2,152.82511072251404,634.2468928769638
band-stretching,14,3,155.06420077298782,612.1081514380854
band-stretching,14,4,158.99318607108106,651.5045742538179
band-stretching,14,5,161.69360696525416,594.0583700020736
band-stretching,14,6,204.27058353503435,667.3306543616742
band-stretching,14,7,209.37535385152998,582.6888220948599
band-stretching,14,8,166.63569562808817,738.686845051321
band-stretching,14,9,163.2355184991548,521.9208821423997
band-stretching,14,10,110.33814042682621,785.4710170200893
band-stretching,14,11,95.62987604022192,483.4221797469628
band-stretching,14,12,387.8750357978387,660.1870753744633
band-stretching,14,13,387.7314149853922,593.4389698942781
band-stretching,14,14,536.7076724048461,660.0786414879733
band-stretching,14,15,538.1069469055091,598.3671556721433
band-stretching,14,16,661.3320383185652,657.563726706583
band-stretching,14,17,661.5680539029316,592.1075155360917
band-stretching,15,1,168.65973421009502,625.5247560690195
band-stretching,15,2,154.77887099394354,635.6558284714853
band-stretching,15,3,156.73690256232527,613.3758768860388
band-stretching,15,4,161.19484971531884,651.324963178791
band-stretching,15,5,164.24687114403417,596.5200565049278
band-stretching,15,6,208.28212658674477,669.1994686558505
band-stretching,15,7,214.48807630393443,584.067668691452
band-stretching,15,8,175.0282979639823,736.9001976090609
band-stretching,15,9,172.5689718428994,524.6499726699722
band-stretching,15,10,115.84953868934748,787.2801388361601
band-stretching,15,11,95.80931432038835,482.7420117797375
band-stretching,15,12,388.17498274550525,660.7698005479727
band-stretching,15,13,401.6211155482701,592.0277203478728
band-stretching,15,14,538.5090678475601,660.5364880647444
band-stretching,15,15,539.8114391438012,598.5986842707114
band-stretching,15,16,666.7203694209973,657.1921483917594
band-stretching,15,17,672.0253373779635,592.3612804546848
band-stretching,16,1,168.5015657506935,626.9034063620645
band-stretching,16,2,157.74343059396944,636.9577884004043
band-stretching,16,3,158.02372719477682,614.4926382358143
band-stretching,16,4,163.9008065698547,652.3792971418203
band-stretching,16,5,165.34250214427254,599.0235308871244
band-stretching,16,6,210.05604144769634,670.1217330944529
band-stretching,16,7,219.23942084451323,586.7652053296985
band-stretching,16,8,179.69936259741922,739.6147080718493
band-stretching,16,9,167.53467840229092,521.97890842268
band-stretching,16,10,120.17213882255818,790.9363774486485
band-stretching,16,11,101.15804569069788,481.05976423372243
band-stretching,16,12,387.24774441342083,664.9857398814098
band-stretching,16,13,388.69968133892,597.3979688491047
band-stretching,16,14,540.8573554855113,655.2337937127976
band-stretching,16,15,541.0568121964326,600.2591406936109
band-stretching,16,16,672.10070648405,659.7911335024212
band-stretching,16,17,664.7443807869116,592.7478437103581
band-stretching,17,1,169.90188926665033,627.996641779951
band-stretching,17,2,158.37326130490032,637.3940406340719
band-stretching,17,3,159.0625172679864,614.9499225839799
band-stretching,17,4,165.31918905313734,650.5950927734375
band-stretching,17,5,166.71756643858762,599.4566136761441
band-stretching,17,6,216.27371937491196,672.0288600519614
band-stretching,17,7,220.04322512305228,585.8426644223263
band-stretching,17,8,181.32648769595588,742.7275005641345
band-stretching,17,9,167.47045466704773,524.9984295716238
band-stretching,17,10,125.90192797445226,794.8029974789288
band-stretching,17,11,105.02304706758666,476.7609731300467
band-stretching,17,12,380.86848646526363,673.3745246785958
band-stretching,17,13,390.11819286584523,598.0843170428071
band-stretching,17,14,543.9471932489233,655.5674497081748
band-stretching,17,15,542.0380552929416,601.3071243321867
band-stretching,17,16,672.2141487026347,661.1557190274932
band-stretching,17,17,664.7807491900355,593.8278162507319
band-stretching,18,1,171.6369729432253,629.1990205405933
band-stretching,18,2,160.3018207457459,638.7681977438052
band-stretching,18,3,160.51251597940177,616.2830395069465
band-stretching,18,4,166.04787564641396,653.2375569756751
band-stretching,18,5,169.08023410961135,601.119944611906
band-stretching,18,6,217.19182298848102,674.9632776574545
band-stretching,18,7,219.63280919851442,588.0996196666423
band-stretching,18,8,182.80698112244414,745.3581196102289
band-stretching,18,9,171.82115893423475,522.5382906268296
band-stretching,18,10,128.83382905703476,796.8638909821581
band-stretching,18,11,109.25014800073039,473.9711597689793
band-stretching,18,12,382.15946954100207,673.4110600086602
band-stretching,18,13,390.799802338366,599.886730947502
band-stretching,18,14,544.6077547986034,663.5312225556206
band-stretching,18,15,545.893697434424,603.8697699398663
band-stretching,18,16,671.5214011804737,662.9146374025725
band-stretching,18,17,674.6347179227662,597.1322834333529
band-stretching,19,1,174.89204835296505,632.1225673607046
band-stretching,19,2,162.1613789795176,641.0319042578049
band-stretching,19,3,161.36136006052385,618.7613584472275
band-stretching,19,4,168.13808361799477,654.9055812695732
band-stretching,19,5,169.7041834541564,602.0895211832492
band-stretching,19,6,219.97255920537137,676.0930372084797
band-stretching,19,7,218.0226873855485,589.0797718533495
band-stretching,19,8,191.39741450506838,739.9864674433426
band-stretching,19,9,179.11287090814724,524.7583677245713
band-stretching,19,10,142.05263981706722,798.6615170695463
band-stretching,19,11,116.51645432894173,478.16855008484885
band-stretching,19,12,392.2890012108833,672.527766469677
band-stretching,19,13,391.5133322558357,602.2728310554498
band-stretching,19,14,540.379500686709,664.4087470573527
band-stretching,19,15,542.4655678335076,604.6845954698477
band-stretching,19,16,671.6913800497491,664.8571491464799
band-stretching,19,17,675.0528819418813,598.882806020077
band-stretching,20,1,175.99263558440666,630.5877614077137
band-stretching,20,2,162.83454061711876,642.8853202778133
band-stretching,20,3,162.29177996123548,619.582886171006
band-stretching,20,4,168.70206957220535,656.9986590847757
band-stretching,20,5,170.29400385037872,602.615770016863
band-stretching,20,6,219.05452987522756,674.9256304964994
band-stretching,20,7,221.60714074080596,594.3446263142808
band-stretching,20,8,194.3505758848997,742.2855698215506
band-stretching,20,9,181.32273733533205,524.330834560707
band-stretching,20,10,153.952099804078,805.2085648952844
band-stretching,20,11,117.81751995113125,476.0496612715591
band-stretching,20,12,393.5889563911004,672.673596181877
band-stretching,20,13,392.7261029797685,603.6416032777737
band-stretching,20,14,542.7110193175846,664.6708618449942
band-stretching,20,15,542.9293059244566,604.7614340145639
band-stretching,20,16,672.0280306283049,666.7078389533324
band-stretching,20,17,673.3966932151254,599.5655306980631
band-stretching,21,1,176.48897087028388,630.9847005208334
band-stretching,21,2,163.3343752148082,643.0240885416666
band-stretching,21,3,162.86715651682775,620.2631732544612
band-stretching,21,4,168.97964244742002,657.6003256447142
band-stretching,21,5,170.49585572558865,603.3966698151469
band-stretching,21,6,219.97200088924245,676.3391199044936
band-stretching,21,7,225.98567724558583,601.6677110777713
band-stretching,21,8,196.061327930297,745.4628675640979
band-stretching,21,9,186.56646860786682,523.9344352823417
band-stretching,21,10,146.1064768035931,806.1377944172034
band-stretching,21,11,120.82331970892072,476.7628306285373
band-stretching,21,12,394.41841654572505,673.6134308599849
band-stretching,21,13,399.6918530933735,602.8706515905543
band-stretching,21,14,543.3481501607062,664.6163085175156
band-stretching,21,15,542.9674552250834,605.1539048396638
band-stretching,21,16,672.376705598236,666.7406254574063
band-stretching,21,17,676.8721846899278,599.7120503314671
band-stretching,22,1,176.98780460595754,629.5680683502269
band-stretching,22,2,163.99436844866747,641.7271722321581
band-stretching,22,3,163.42773829022326,619.106736909031
band-stretching,22,4,168.83468977125276,656.8263773504967
band-stretching,22,5,171.11501997949014,602.797839650877
band-stretching,22,6,220.26723202984476,675.5473743352361
band-stretching,22,7,223.5717889802962,590.6598448325283
band-stretching,22,8,202.16945209053452,748.8544918539745
band-stretching,22,9,187.99991800781757,524.3567621140253
band-stretching,22,10,146.8396456397026,807.9095006342701
band-stretching,22,11,124.4127836240644,472.4879797429986
band-stretching,22,12,394.5933835351021,673.435064311329
band-stretching,22,13,399.7611566720822,602.6508602288251
band-stretching,22,14,540.8598496943671,665.9903666416618
band-stretching,22,15,543.1010834883057,604.5754163922229
band-stretching,22,16,672.9471013549297,664.670743681694
band-stretching,22,17,678.0588186002142,599.1374379261503
band-stretching,23,1,177.25581063311571,632.2316130281519
band-stretching,23,2,164.542335372692,640.7922715865291
band-stretching,23,3,163.45506982895935,617.8863187100532
band-stretching,23,4,170.08859922750318,655.1514218916286
band-stretching,23,5,171.48927273267515,602.2480262917154
band-stretching,23,6,219.99429924974163,675.8555289751658
band-stretching,23,7,223.95124945991083,588.6354568803059
band-stretching,23,8,201.70053463537715,742.1993601647882
band-stretching,23,9,194.43693893792394,523.5682924793252
band-stretching,23,10,169.6807713184542,805.5124103864779
band-stretching,23,11,127.26661354096686,469.54791721936596
band-stretching,23,12,394.3292935777471,672.5421871569453
band-stretching,23,13,399.23567667417484,600.0106690024883
band-stretching,23,14,541.1010517855789,665.766321401127
band-stretching,23,15,542.9959305380982,604.4546630287617
band-stretching,23,16,673.5367536610935,663.0782692735778
band-stretching,23,17,678.8742072836867,597.9448052554462
band-stretching,24,1,177.9207152632503,630.7203563538312
band-stretching,24,2,164.77188068024824,638.2688530974793
band-stretching,24,3,164.1536568735575,616.4045537848849
band-stretching,24,4,170.31122379593975,654.2525950900099
band-stretching,24,5,172.06897105985476,601.4739761531214
band-stretching,24,6,221.2774894703774,675.6743827301668
band-stretching,24,7,226.14750940161505,590.591588373951
band-stretching,24,8,207.4489998784376,742.4185330750512
band-stretching,24,9,194.67130504930896,518.5557233347361
band-stretching,24,10,171.0693247209144,805.9634844908762
band-stretching,24,11,129.23389196726552,466.6236073406854
band-stretching,24,12,395.0275644416121,672.5406357871658
band-stretching,24,13,399.4858651551393,599.597078393345
band-stretching,24,14,540.5731309105057,665.9430384282299
band-stretching,24,15,543.7370981753451,604.2080285863705
band-stretching,24,16,673.8482754901775,662.3687567848605
band-stretching,24,17,679.9777047081893,596.6118913065354
band-stretching,25,1,177.9809276935297,630.5181532181584
band-stretching,25,2,165.4351440514341,640.2504421117992
band-stretching,25,3,165.05638334192284,616.3695102664849
band-stretching,25,4,171.19761600573747,653.1524705849617
band-stretching,25,5,173.21442981037453,601.6128208895943
band-stretching,25,6,221.1892762362709,675.9015430983485
band-stretching,25,7,226.79535229559912,589.5246214200332
band-stretching,25,8,206.94561158073097,741.7045580158933
band-stretching,25,9,199.02286238544693,519.3928922106752
band-stretching,25,10,172.4931779879968,807.4466769049449
band-stretching,25,11,141.68215790006556,466.2367380754172
band-stretching,25,12,394.90232830074063,672.4824193973824
band-stretching,25,13,400.50917552678163,599.7667732804572
band-stretching,25,14,541.2945267760638,665.4636632605143
band-stretching,25,15,544.7508840785774,603.5037229062988
band-stretching,25,16,674.0938279235247,662.2195370247548
band-stretching,25,17,680.6476173982871,596.3274965427705
band-stretching,26,1,178.56517516624248,629.7902372719067
band-stretching,26,2,166.52368098456057,640.3012333318277
band-stretching,26,3,165.78254287021335,615.8304483382428
band-stretching,26,4,172.2456737100334,652.956468878455
band-stretching,26,5,173.6512677778649,601.6485347941367
band-stretching,26,6,222.91007862673058,674.2691283036172
band-stretching,26,7,227.23136266954398,589.8077921454186
band-stretching,26,8,218.5186035325557,728.3563937589956
band-stretching,26,9,208.46140868124783,532.6762238859106
band-stretching,26,10,174.50383031583195,809.063190874134
band-stretching,26,11,141.99097505058893,462.5041613254949
band-stretching,26,12,394.2659421965748,668.0493566675358
band-stretching,26,13,399.94253203541496,600.7430584778738
band-stretching,26,14,542.544616826199,665.3529156603728
band-stretching,26,15,545.0677543142798,602.8640830451674
band-stretching,26,16,674.5150682764146,661.5172763321196
band-stretching,26,17,681.0235467664743,595.7893999324564
band-stretching,27,1,179.1088022239992,629.1301313366023
band-stretching,27,2,166.85314416554698,639.9172902460865
band-stretching,27,3,166.2551264028774,615.3587161443087
band-stretching,27,4,171.89977413076963,652.487137829485
band-stretching,27,5,173.61106544526373,602.1375478942538
band-stretching,27,6,222.36372695055152,675.9090855380318
band-stretching,27,7,227.89175755769304,589.4461648004489
band-stretching,27,8,216.83520397762982,738.197539878208
band-stretching,27,9,209.11649801860074,529.043442117898
band-stretching,27,10,173.68769356017305,812.7983816297235
band-stretching,27,11,151.79995897904183,465.0936520388125
band-stretching,27,12,383.4788574557364,673.3298151163642
band-stretching,27,13,401.13982371252223,599.8110745122524
band-stretching,27,14,551.0816499495804,656.1563460553278
band-stretching,27,15,545.3141276747112,602.9253850217725
band-stretching,27,16,680.9655933142039,662.6534298041386
band-stretching,27,17,681.2646850501284,594.9753198318422
band-stretching,28,1,178.38904892687327,628.774890050955
band-stretching,28,2,166.81894521938116,639.454864886103
band-stretching,28,3,166.42613827603535,615.4683545341164
band-stretching,28,4,171.59158957980046,652.049078364376
band-stretching,28,5,173.72741614565274,601.919469423912
band-stretching,28,6,224.6427674366267,674.2261466414178
band-stretching,28,7,228.27496384450038,588.824719228752
band-stretching,28,8,217.77776731366754,738.2764643863437
band-stretching,28,9,212.7244420785679,527.3075237765524
band-stretching,28,10,185.418833019664,813.4844893277575
band-stretching,28,11,153.13116462485303,458.4836713566062
band-stretching,28,12,395.4516304217165,665.3151105512966
band-stretching,28,13,412.5348154351053,596.813476943672
band-stretching,28,14,550.5030034947495,653.3320659366461
band-stretching,28,15,544.893487303333,601.7367432212383
band-stretching,28,16,681.3247241524156,661.380425124872
band-stretching,28,17,681.6735057857264,594.5796154775627
band-stretching,29,1,178.28555283037204,628.0944309636636
band-stretching,29,2,167.43041732936229,638.4768187190107
band-stretching,29,3,166.82073659275176,615.1568579692379
band-stretching,29,4,171.28203054737614,651.8266673985167
band-stretching,29,5,173.13764122421964,601.5064910721909
band-stretching,29,6,225.3069716121552,674.4911545240535
band-stretching,29,7,228.79642206157627,587.897419389759
band-stretching,29,8,218.42064274167552,736.6119160827112
band-stretching,29,9,218.85529601458208,533.4153343754574
band-stretching,29,10,187.09554706631687,812.9671164400219
band-stretching,29,11,155.95017490043057,451.74460584534785
band-stretching,29,12,395.16420975472164,664.6582903180804
band-stretching,29,13,400.6563109928295,596.9697907899712
band-stretching,29,14,545.2016016183713,655.3250462742731
band-stretching,29,15,545.0345210526423,601.5392570882733
band-stretching,29,16,675.4287963105306,659.6041629502403
band-stretching,29,17,675.8932615219306,592.8684750987998
band-stretching,30,1,179.51274287188102,627.9285916306841
band-stretching,30,2,168.0184482569172,638.2630225962536
band-stretching,30,3,167.0978937664905,615.0264819202528
band-stretching,30,4,172.11750004063367,651.662186943489
band-stretching,30,5,173.0912128929953,601.5052879982679
band-stretching,30,6,222.9262372359489,674.867931547619
band-stretching,30,7,229.3117928471876,588.3293081576893
band-stretching,30,8,222.3176731315962,727.5978277773712
band-stretching,30,9,218.79385981248916,532.3515225722397
band-stretching,30,10,188.89472591066823,811.6403610384343
band-stretching,30,11,157.5316871188054,446.92044903578744
band-stretching,30,12,394.98404768733474,663.886254673168
band-stretching,30,13,412.42933106653896,598.2813491047034
band-stretching,30,14,544.8801981890251,654.8420899962188
band-stretching,30,15,550.8274106410605,600.4586584729948
band-stretching,30,16,675.7665268558073,659.0506719965938
band-stretching,30,17,676.061660618458,592.6657468987851
band-stretching,31,1,179.66818236775603,628.0015841505659
band-stretching,31,2,166.9369472974547,636.5938444829936
band-stretching,31,3,167.09309962850668,615.0311827231533
band-stretching,31,4,171.5163223753359,651.7502579104612
band-stretching,31,5,173.99428970770762,601.108672881294
band-stretching,31,6,223.52399595898166,676.3690323721702
band-stretching,31,7,229.63566381954453,588.1503765216383
band-stretching,31,8,222.9816640994089,733.1543909768217
band-stretching,31,9,220.3437815757466,531.9342083897468
band-stretching,31,10,189.43457784665938,814.0006137582867
band-stretching,31,11,159.69017715295377,442.58021001048985
band-stretching,31,12,395.8917187652376,663.2808831220116
band-stretching,31,13,412.21158349067593,596.5274598168545
band-stretching,31,14,542.9195157499486,664.5927806797667
band-stretching,31,15,551.0914472667255,600.717922094555
band-stretching,31,16,675.8857898474071,658.9652623244322
band-stretching,31,17,676.1641974588042,592.5038441189745
band-stretching,32,1,179.84894751179732,628.012892092512
band-stretching,32,2,167.84333746244772,638.542570103713
band-stretching,32,3,167.1137513730794,615.1045173448477
band-stretching,32,4,171.74947614312669,651.7557606038221
band-stretching,32,5,173.41883660685502,601.439185161129
band-stretching,32,6,223.48185630512634,676.3218256572928
band-stretching,32,7,229.28050047812283,587.7930507019662
band-stretching,32,8,224.83493556262056,733.9332161277276
band-stretching,32,9,221.6711578157507,531.4664315693459
band-stretching,32,10,189.80693589632455,814.7555872539725
band-stretching,32,11,164.5433601030199,443.22878311240606
band-stretching,32,12,396.4913793344273,664.7820730455028
